Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Oppo A95,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",160.3 x 73.8 x 8 mm (6.31 x 2.91 x 0.31 in),175 g (6.17 oz),,Nano-SIM + Nano-SIM,"6.43 inches, 99.8 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 11, ColorOS 11.1",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, 27mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX",No,Unspecified,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"33W wired, 54% in 30 min","Glowing Starry Black, Glowing Rainbow Silver",About 230 EUR
Oppo Reno7 SE 5G,,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",160.2 x 73.2 x 7.5 mm (6.31 x 2.88 x 0.30 in),171 g (6.03 oz),,Nano-SIM + Nano-SIM,"6.43 inches, 99.8 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 11, ColorOS 12",Mediatek Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,No,"128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.7, 26mm (wide), PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 27mm (wide), 1.0µm","1080p@30fps, gyro-EIS",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD",No,No,"USB Type-C 2.0, OTG",Li-Po 4500 mAh,33W wired,"Black, Blue, Gold",About 310 EUR
Oppo Reno7 5G (China),,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",156.8 x 72.1 x 7.6 mm (6.17 x 2.84 x 0.30 in),185 g (6.53 oz),,Nano-SIM + Nano-SIM,"6.43 inches, 99.8 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 11, ColorOS 12",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.7, 26mm (wide), 1/2.0"", 0.7µm, PDAF,
8 MP, f/2.2, 120˚ (ultrawide),
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, 24mm (wide), 1/2.74"", 0.8µm","1080p@30fps, gyro-EIS",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD",Yes,No,"USB Type-C 2.0, OTG",Li-Po 4500 mAh,60W wired,"Black, Blue, Gold, Red (New Year Edition)",About 380 EUR
Oppo Reno7 Pro 5G,,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41 - International","HSPA, LTE (CA), 5G",158.2 x 73.2 x 7.5 mm (6.23 x 2.88 x 0.30 in),180 g (6.35 oz),"Glass front (Gorilla Glass 5), glass back (Panda Glass)",Nano-SIM + Nano-SIM,"6.55 inches, 103.6 cm","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Android 11, upgradable to Android 13, ColorOS 13",Mediatek Dimensity 1200 Max,Octa-core 3.0 GHz,ARM G77 MC9,No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF,
8 MP, f/2.2, 119˚ (ultrawide),
2 MP, f/2.4, (macro)","Color spectrum sensor, LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, 22mm (wide)","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD",Yes,No,"USB Type-C 2.0, OTG",Li-Po 4500 mAh,"65W wired, 100% in 31 min","Starlight Black, Startrails Blue, Gold, League of Legends",About 400 EUR
Oppo Find N,,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66","HSPA, LTE (CA), 5G",Unfolded: 132.6 x 140.2 x 8.0 mm,275 g (9.70 oz),"Glass front (Gorilla Glass Victus) - folded, plastic front - unfolded, glass back (Gorilla Glass Victus), aluminum frame",,"7.1 inches, 162.2 cm",1792 x 1920 pixels (~370 ppi density),"Android 11, upgradable to Android 14, ColorOS 14",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"256GB 8GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
13 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, 2x optical zoom, PDAF,
16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.09"", 1.0µm","Color spectrum sensor, Dual-LED dual-tone flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR","32 MP, f/2.4, 26mm (wide), 1/2.74"", 0.8µm,
Cover camera:,
32 MP, f/2.4, 26mm (wide), 1/2.74"", 0.8µm","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD",Yes,No,"USB Type-C 2.0, OTG",Li-Po 4500 mAh,"33W wired, 55% in 30 min, 100% in 70 min","Black, White, Purple",About 1070 EUR
Oppo K9x,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 5, 7, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",162.2 x 74.8 x 8.8 mm (6.39 x 2.94 x 0.35 in),194 g (6.84 oz),,Nano-SIM + Nano-SIM,"6.49 inches, 102.2 cm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 11, ColorOS 11.1",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.7, 26mm (wide), 1/1.97”, 0.7µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.0, 26mm (wide), 1/3.0”, 1.0µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX",No,No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"33W wired, 50% in 27 min","Black, Blue",About 190 EUR
Oppo A53,"[{'128GB 6GB RAM': '$\u2009485.00'}, {'64GB 4GB RAM': '£\u200993.00'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE",163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 10, upgradable to Android 11",Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",No,FM radio,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,18W wired,"Fairy White, Electric Black, Fancy Blue",
Oppo A32,,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA, LTE",163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 10, ColorOS 7.2",Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",No,No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,18W wired,"Mint Green, Electric Black, Fancy Blue",About 150 EUR
Oppo F17,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE",159.8 x 72.8 x 7.5 mm (6.29 x 2.87 x 0.30 in),163 g (5.75 oz),,Nano-SIM + Nano-SIM,"6.44 inches, 100.1 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 10, ColorOS 7.2",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","16 MP, f/2.2, (wide), 1/3.06"", PDAF,
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",No,FM radio,"USB Type-C 2.0, OTG",Li-Po 4015 mAh,"30W wired, 50% in 30 min, 100% in 53 min","Dynamic Orange, Navy Blue, Classic Silver",About 200 EUR
Oppo F17 Pro,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE",160.1 x 73.8 x 7.5 mm (6.30 x 2.91 x 0.30 in),164 g (5.78 oz),"Glass front (Gorilla Glass 3), plastic back",Nano-SIM + Nano-SIM,"6.43 inches, 100.3 cm","1080 x 2400 pixels, 20:9 ratio (~408 ppi density)","Android 10, ColorOS 7.2",Mediatek MT6779V Helio P95 (12 nm),Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,microSDXC (dedicated slot),128GB 8GB RAM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, gyro-EIS","16 MP, f/2.4, (wide), 1/3.09"", 1.0µm,
2 MP, f/2.4, (depth)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD",No,FM radio,"USB Type-C 2.0, OTG",Li-Po 4015 mAh,"30W wired, 50% in 30 min, 100% in 53 min","Magic Blue, Matte Black, Metallic White",About 270 EUR
Oppo Reno4 SE,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 6, 7, 8, 19, 34, 38, 39, 40, 41","HSPA, LTE, 5G",160.5 x 73.9 x 7.9 mm (6.32 x 2.91 x 0.31 in),169 g (5.96 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.43 inches, 99.8 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 10, ColorOS 7.2",Mediatek Dimensity 720 (7 nm),Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC3,No,"128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, gyro-EIS","32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8µm","1080p@30fps, gyro-EIS",Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD",No,No,"USB Type-C 2.0, OTG",Li-Po 4300 mAh,65W wired,"Black, White, Blue",About 320 EUR
Oppo A33 (2020),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 38, 40, 41","HSPA, LTE",163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 102.8 cm","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Android 10, ColorOS 7.2",Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC (dedicated slot),"32GB 3GB RAM, 32GB 4GB RAM","13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",No,No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,18W wired,"Moonlight Black, Mint Cream",About 130 EUR
Oppo Reno4 Lite,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE",160.1 x 73.7 x 7.4 mm (6.30 x 2.90 x 0.29 in),164 g (5.78 oz),"Glass front (Gorilla Glass 3), plastic back",Nano-SIM + Nano-SIM,"6.43 inches, 99.8 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 10, ColorOS 7.2",Mediatek MT6779V Helio P95 (12 nm),Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,microSDXC (dedicated slot),128GB 8GB RAM,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, gyro-EIS","16 MP, f/2.4, (wide), 1/3"", 1.0µm,
2 MP, f/2.4, (depth)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD",Yes,FM radio,"USB Type-C 2.0, OTG",Li-Po 4015 mAh,"30W wired, 50% in 30 min, 100% in 53 min","Magic Blue, Matte Black",About 370 EUR
Oppo Reno4 Z 5G,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66","HSPA, LTE, 5G 3.5 Gbps DL",163.8 x 75.5 x 8.1 mm (6.45 x 2.97 x 0.32 in),184 g (6.49 oz),,Nano-SIM + Nano-SIM,"6.57 inches, 104.2 cm","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Android 10, upgradable to Android 11, ColorOS 11.1",Mediatek Dimensity 800 (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57 MC4,No,"128GB 8GB RAM, 256GB 12GB RAM","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm,
2 MP, f/2.4, (depth)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD",Yes,No,"USB Type-C 2.0, OTG",Li-Po 4000 mAh,18W wired,"Ink Black, Dew White",About 260 EUR
Oppo A93,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 38, 40, 41","HSPA, LTE",160.1 x 73.8 x 7.5 mm (6.30 x 2.91 x 0.30 in),164 g (5.78 oz),"Glass front, plastic back",Nano-SIM + Nano-SIM,"6.43 inches, 99.8 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 10, ColorOS 7.2",Mediatek MT6779V Helio P95 (12 nm),Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,microSDXC (dedicated slot),128GB 8GB RAM,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, gyro-EIS","16 MP, f/2.4, (wide), 1/3.09"", 1.0µm,
2 MP, f/2.4, (depth)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD",No,FM radio,"USB Type-C 2.0, OTG",Li-Po 4000 mAh,18W wired,"Matte Black, Metallic White",About 280 EUR
Oppo A73,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",159.8 x 72.9 x 7.5 mm (6.29 x 2.87 x 0.30 in),163 g (5.75 oz),,Nano-SIM + Nano-SIM,"6.44 inches, 100.1 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 10, ColorOS 7.2",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM","16 MP, f/2.2, (wide), 1/3.06"", PDAF,
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX",Yes (market/region dependent),FM radio,"USB Type-C 2.0, OTG",Li-Po 4015 mAh,"30W wired, 50% in 30 min, 100% in 53 min","Navy Blue, Classic Silver",
Oppo A53s,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,"HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - Version 1, Version 3","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 20, 26, 28, 38, 39, 40, 41, 66 - Version 1","HSPA, LTE",163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 10, ColorOS 7.2",Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",Yes (market/region dependent),FM radio,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,18W wired,"Electric Black, Fancy Blue",About 110 EUR
Oppo A15,[{'32GB 3GB RAM': '$\u2009489.00'}],GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE",164 x 75.4 x 7.9 mm (6.46 x 2.97 x 0.31 in),175 g (6.17 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.52 inches, 102.6 cm","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Android 10, ColorOS 7.2",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,"32GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.4, (wide)",,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP, LE, aptX",No,FM radio,"microUSB 2.0, OTG",Li-Po 4230 mAh,10W wired,"Dynamic Black, Mystery Blue",
Oppo Reno4 F,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 38, 40, 41","HSPA, LTE",160.1 x 73.8 x 7.5 mm (6.30 x 2.91 x 0.30 in),164 g (5.78 oz),"Glass front, plastic back",Nano-SIM + Nano-SIM,"6.43 inches, 99.8 cm","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Android 10, ColorOS 7.2",Mediatek MT6779V Helio P95 (12 nm),Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,microSDXC (dedicated slot),128GB 8GB RAM,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, gyro-EIS","16 MP, f/2.4, (wide), 1/3.09"", 1.0µm,
2 MP, f/2.4, (depth)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD",No,FM radio,"USB Type-C 2.0, OTG",Li-Po 4000 mAh,18W wired,"Matte Black, Metallic White",About 250 EUR
Oppo A73 5G,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66","HSPA, LTE, 5G",162.2 x 75 x 7.9 mm (6.39 x 2.95 x 0.31 in),177 g (6.24 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 10, upgradable to Android 12, ColorOS 12",Mediatek Dimensity 720 (7 nm),Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC3,microSDXC (dedicated slot),128GB 8GB RAM,"16 MP, f/2.2, 26mm (wide), 1/3.06"", PDAF,
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","8 MP, f/2.0, 26mm (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, aptX HD, LE",,Unspecified,"USB Type-C 2.0, OTG",Li-Po 4040 mAh,18W wired,"Navy Black, Neon",About 240 EUR
