Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors
Samsung Galaxy F12,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 38, 40, 41","HSPA, LTE",164 x 75.9 x 9.7 mm (6.46 x 2.99 x 0.38 in),221 g (7.80 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 11, upgradable to Android 13, One UI 5",Exynos 850 (8 nm),Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),Mali-G52,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","48 MP, f/2.0, (wide), 1/2.0"", 0.8µm, PDAF,
5 MP, f/2.2, (ultrawide),
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP, LE",No,"FM radio, recording","USB Type-C 2.0, OTG",Li-Po 6000 mAh,15W wired,"Sea Green, Sky Blue, Celestial Black"
Samsung Galaxy Quantum 2,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",161.9 x 73.8 x 8.1 mm (6.37 x 2.91 x 0.32 in),176 g (6.21 oz),,Nano-SIM,"6.7 inches, 108.4 cm","1440 x 3200 pixels, 20:9 ratio (~524 ppi density)","Android 11, One UI 3.1","Qualcomm SM8150 Snapdragon 855+ (7 nm), QRNG security chipset",Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),microSDXC (dedicated slot),128GB 6GB RAM,"64 MP, f/1.8, 26mm (wide), 1/1.7X"", 0.8µm, PDAF, OIS,
12 MP, f/2.2, 123˚ (ultrawide), 1.12µm,
5 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60/240fps; gyro-EIS","10 MP, f/2.2, (wide)",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",Li-Po 4500 mAh,25W wired,"Black, White, Violet"
Samsung Galaxy M12,[{'64GB 4GB RAM': '$\u2009199.99'}],GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE",164 x 75.9 x 9.7 mm (6.46 x 2.99 x 0.38 in),212 g (7.48 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 11, One UI Core 3.1",Exynos 850 (8 nm),Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),Mali-G52,microSDXC (dedicated slot),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","48 MP, f/2.0, (wide), 1/2.0"", 0.8µm, PDAF,
5 MP, f/2.2, 123˚ (ultrawide),
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP, LE",Yes,Unspecified,USB Type-C 2.0,Li-Po 5000 mAh,15W wired,"Black, Blue, Green"
Samsung Galaxy M42 5G,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41","HSPA, LTE, 5G",164.4 x 75.9 x 8.6 mm (6.47 x 2.99 x 0.34 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"6.6 inches, 105.2 cm","720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Android 11, upgradable to Android 13, One UI 5.1",Qualcomm SM7225 Snapdragon 750G 5G (8 nm),Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),Adreno 619,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM","48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 123˚ (ultrawide),
5 MP, f/2.4, (macro),
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@480fps","20 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,FM radio,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,15W wired,"Prism Dot Black, Prism Dot Gray"
Samsung Galaxy F52 5G,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","HSPA, LTE, 5G",164.6 x 76.3 x 8.7 mm (6.48 x 3.00 x 0.34 in),199 g (7.02 oz),,Nano-SIM + Nano-SIM,"6.6 inches, 104.9 cm","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","Android 11, One UI 3.1",Qualcomm SM7225 Snapdragon 750G 5G (8 nm),Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),Adreno 619,microSDXC (uses shared SIM slot),128GB 8GB RAM,"64 MP, f/1.8, (wide), PDAF,
8 MP, f/2.2, (ultrawide), 1.12µm,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/120fps","16 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",No,No,USB Type-C 2.0,Li-Po 4500 mAh,25W wired,"White, Black"
Samsung Galaxy S20+,[{'128GB 8GB RAM': '$\u2009198.24'}],GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66","HSPA 42.2/5.76 Mbps, LTE (7CA) Cat20 2000/200 Mbps",161.9 x 73.7 x 7.8 mm (6.37 x 2.90 x 0.31 in),186 g (6.56 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM + ,"6.7 inches, 108.0 cm","1440 x 3200 pixels, 20:9 ratio (~525 ppi density)","Android 10, upgradable to Android 13, One UI 5",Exynos 990 (7 nm+) - Global,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - Global,Mali-G77 MP11 - Global,microSDXC (uses shared SIM slot),128GB 8GB RAM,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS,
64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom,
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video,
0.3 MP, TOF 3D, f/1.0, (depth)","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.24"", 1.22µm, dual pixel PDAF","4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, OTG",Li-Ion 4500 mAh,"25W wired, PD3.0","Cosmic Black, Cosmic Grey, Cloud Blue, Cloud White, Aura Red, Aura Blue"
Samsung Galaxy S20+ 5G,"[{'128GB 8GB RAM': '$\u2009180.11'}, {'128GB 12GB RAM': '$\u2009184.95'}, {'256GB 12GB RAM': '$\u2009875.68'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - SM-G986B","HSPA 42.2/5.76 Mbps, LTE (7CA) Cat20 2000/200 Mbps, 5G (5+ Gbps DL)",161.9 x 73.7 x 7.8 mm (6.37 x 2.90 x 0.31 in),188 g (6.63 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM + ,"6.7 inches, 108.0 cm","1440 x 3200 pixels, 20:9 ratio (~525 ppi density)","Android 10, upgradable to Android 13, One UI 5.1",Exynos 990 (7 nm+) - Global,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - Global,Mali-G77 MP11 - Global,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS,
64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom,
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video,
0.3 MP, TOF 3D, f/1.0, (depth)","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","10 MP, f/2.2, 26mm (wide), 1/3.24"", 1.22µm, dual pixel PDAF","4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, OTG",Li-Ion 4500 mAh,"25W wired, PD3.0","Cosmic Black, Cosmic Grey, Cloud Blue, Cloud White, Aura Red, Aura Blue"
Samsung Galaxy S20 Ultra,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66","HSPA 42.2/5.76 Mbps, LTE (7CA) Cat20 2000/200 Mbps",166.9 x 76 x 8.8 mm (6.57 x 2.99 x 0.35 in),220 g (7.76 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM + ,"6.9 inches, 114.0 cm","1440 x 3200 pixels, 20:9 ratio (~511 ppi density)","Android 10, upgradable to Android 13, One UI 5",Exynos 990 (7 nm+),Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G77 MP11,microSDXC (uses shared SIM slot),"128GB 12GB RAM, 512GB 16GB RAM","108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, OIS,
48 MP, f/3.5, 103mm (periscope telephoto), 1/2.0"", 0.8µm, PDAF, OIS, 4x optical zoom, 10x hybrid zoom,
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video,
0.3 MP, TOF 3D, f/1.0, (depth)","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","40 MP, f/2.2, 26mm (wide), 1/2.8"", 0.7µm, PDAF","4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,FM radio (USA & Canada only),"USB Type-C 3.2, OTG",Li-Ion 5000 mAh,"45W wired, PD3.0","Cosmic Grey, Cosmic Black, Cloud White"
Samsung Galaxy S20 Ultra 5G,"[{'128GB 12GB RAM': '$\u2009239.95'}, {'512GB 16GB RAM': '$\u2009519.95'}, {'256GB 12GB RAM': '€\u2009405.00'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - SM-G988B","HSPA 42.2/5.76 Mbps, LTE (7CA) Cat20 2000/200 Mbps, 5G (5+ Gbps DL)",166.9 x 76 x 8.8 mm (6.57 x 2.99 x 0.35 in),222 g (7.83 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM + ,"6.9 inches, 114.0 cm","1440 x 3200 pixels, 20:9 ratio (~511 ppi density)","Android 10, upgradable to Android 13, One UI 5.1",Exynos 990 (7 nm+) - Global,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - Global,Mali-G77 MP11 - Global,microSDXC (uses shared SIM slot),"128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM","108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, OIS,
48 MP, f/3.5, 103mm (periscope telephoto), 1/2.0"", 0.8µm, PDAF, OIS, 4x optical zoom, 10x hybrid zoom,
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video,
0.3 MP, TOF 3D, f/1.0, (depth)","LED flash, auto-HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS & OIS","40 MP, f/2.2, 26mm (wide), 1/2.8"", 0.7µm, PDAF","4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,FM radio (Snapdragon model only; market/operator dependent),"USB Type-C 3.2, OTG",Li-Ion 5000 mAh,"45W wired, PD3.0","Cosmic Grey, Cosmic Black, Cloud White"
Samsung Galaxy M31,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),191 g (6.74 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.4 inches, 100.5 cm","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10, upgradable to Android 12, One UI 4.1",Exynos 9611 (10 nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G72 MP3,microSDXC (dedicated slot),"64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF,
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.4, (macro),
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes (market/region dependent),"FM radio, RDS, recording",USB Type-C 2.0,Li-Po 6000 mAh,15W wired,"Ocean Blue, Space Black, Red"
Samsung Galaxy A11,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",161.4 x 76.3 x 8 mm (6.35 x 3.00 x 0.31 in),177 g (6.24 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.4 inches, 100.5 cm","720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","Android 10, upgradable to Android 12, One UI Core 4.1",Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","13 MP, f/1.8, 27mm (wide), AF,
5 MP, f/2.2, 115˚ (ultrawide),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",No,FM radio,USB Type-C 2.0,Li-Po 4000 mAh,15W wired,"Black, White, Blue, Red"
Samsung Galaxy M21,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 38, 40, 41","HSPA, LTE",159 x 75.1 x 8.9 mm (6.26 x 2.96 x 0.35 in),188 g (6.63 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame",Nano-SIM,"6.4 inches, 100.5 cm","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10, upgradable to Android 11, One UI 3.1 Core",Exynos 9611 (10 nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G72 MP3,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@240fps, gyro-EIS","20 MP, f/2.2, 26mm (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes (market/region dependent),"FM radio, RDS, recording",USB Type-C 2.0,Li-Po 6000 mAh,15W wired,"Midnight Blue, Raven Black"
Samsung Galaxy A41,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",149.9 x 69.8 x 7.9 mm (5.90 x 2.75 x 0.31 in),152 g (5.36 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.1 inches, 89.8 cm","1080 x 2400 pixels, 20:9 ratio (~431 ppi density)","Android 10, upgradable to Android 12, One UI 4.1",Mediatek MT6768 Helio P65 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 64GB 8GB RAM","48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"25 MP, f/2.2, 25mm (wide), 1/2.8"", 0.9µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,"FM radio, recording",USB Type-C 2.0,Li-Po 3500 mAh,15W wired,"Prism Crush Black, Prism Crush Silver, Prism Crush Blue, Prism Crush Red"
Samsung Galaxy A31,"[{'64GB 4GB RAM': '£\u2009139.99'}, {'128GB 4GB RAM': '€\u2009349.99'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 - SM-A315F,"1, 2, 3, 5, 7, 8, 20, 38, 40, 41 - SM-A315F","HSPA, LTE",159.3 x 73.1 x 8.6 mm (6.27 x 2.88 x 0.34 in),185 g (6.53 oz),,Nano-SIM,"6.4 inches, 98.9 cm","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)","Android 10, upgradable to Android 12, One UI 4.1",Mediatek MT6768 Helio P65 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.4, (macro),
5 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"20 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes (market/region dependent),"FM radio, RDS, recording","USB Type-C 2.0, OTG",Li-Po 5000 mAh,15W wired,"Prism Crush Black, Prism Crush Blue, Prism Crush Red, Prism Crush White"
Samsung Galaxy M11,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",161.4 x 76.3 x 9 mm (6.35 x 3.00 x 0.35 in),197 g (6.95 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.4 inches, 100.5 cm","720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","Android 10, upgradable to Android 12, One UI 4.1",Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM","13 MP, f/1.8, 27mm (wide), 1/3.1"", 1.12µm, PDAF,
5 MP, f/2.2, 14mm (ultrawide),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP",No,FM radio,USB Type-C 2.0,Li-Ion 5000 mAh,15W wired,"Black, Metallic Blue, Violet"
Samsung Galaxy Tab S6 Lite (2020),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1800 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 66","HSPA, LTE - cellular model only",244.5 x 154.3 x 7 mm (9.63 x 6.07 x 0.28 in),467 g (1.03 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM (cellular model only),"10.4 inches, 307.9 cm","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Android 10, upgradable to Android 13, One UI 5",Exynos 9611 (10 nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G72 MP3,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","8 MP, (wide), 1/4.0"", 1.12µm","HDR, panorama",1080p@30fps,5 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",No,No,USB Type-C,Li-Po 7040 mAh,15W wired,"Chiffon Pink, Angora Blue, Oxford Gray"
Samsung Galaxy Tab A 8.4 (2020),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 4, 5, 7, 13, 20, 66","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",202 x 125.2 x 7.1 mm (7.95 x 4.93 x 0.28 in),309 g (10.90 oz),"Glass front, plastic frame, plastic back",Nano-SIM,"8.4 inches, 204.6 cm","1200 x 1920 pixels, 16:10 ratio (~270 ppi density)","Android 10, upgradable to Android 11, One UI 3.1",Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,microSDXC (dedicated slot),32GB 3GB RAM,"8 MP, AF",,1080p@30fps,5 MP,,"Yes, with dual speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",No,No,USB Type-C 2.0,Li-Po 5000 mAh,,Mocha
Samsung Galaxy A21,[{'32GB 3GB RAM': '$\u200966.00'}],GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71 - USA","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",167.8 x 76.7 x 8.1 mm (6.61 x 3.02 x 0.32 in),193 g (6.81 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 10, One UI 2.0",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"16 MP, f/1.8, (wide), 1/3.06"", 1.0µm, PDAF,
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes (market/region dependent),FM radio,USB Type-C 2.0,Li-Po 4000 mAh,15W wired,Black
